"instant","dteday","season","yr","mnth","weekday","workingday","weathersit","temp","hum","windspeed","casual","registered","cnt"
6,"2011-01-06",1,0,1,4,1,1,7.969572,51.8261,6.0008684,132.124650161852,1347.83823811269,1479.96288827454
18,"2011-01-18",1,0,1,2,1,2,8.450013,86.1667,9.833925,75.5960226156335,1257.64842179021,1333.24444440585
24,"2011-01-24",1,0,1,1,1,1,3.7982607,49.1739,10.60811,44.1382785839526,1356.23543629732,1400.37371488127
28,"2011-01-28",1,0,1,5,1,2,7.935642,79.3043,8.2611,66.4242547351498,1257.15010871832,1323.57436345347
29,"2011-01-29",1,0,1,6,0,1,7.664358,65.1739,9.739455,190.963867146508,1071.7549112489,1262.71877839541
35,"2011-02-04",1,0,2,5,1,2,8.240856,58.5217,8.565213,129.021651597514,1542.43330485582,1671.45495645333
37,"2011-02-06",1,0,2,0,0,1,11.147487,56.8333,9.5006,440.289213702185,1248.11322815126,1688.40244185345
41,"2011-02-10",1,0,2,4,1,1,5.629572,43.7391,14.869645,64.8535263384342,1504.39717269293,1569.25069903136
49,"2011-02-18",1,0,2,5,1,1,20.345013,51.6667,17.749975,625.102962374007,2798.31619668295,3423.41915905696
58,"2011-02-27",1,0,2,0,0,1,13.395642,68,8.391616,495.775206966765,1235.93980196078,1731.71500892755
62,"2011-03-03",1,0,3,4,1,1,7.734987,31.8333,15.125518,274.912424757336,1618.10000309586,1893.01242785319
66,"2011-03-07",1,0,3,1,1,1,10.207821,55.1304,22.870584,180.453246003779,1622.81024882688,1803.26349483066
69,"2011-03-10",1,0,3,4,1,3,15.174549,20.468725,17.545759,330.940546268547,1792.05633807489,2122.99688434343
70,"2011-03-11",1,0,3,5,1,2,12.344358,64.9565,15.60899,263.15901986162,1828.97203569394,2092.13105555556
74,"2011-03-15",1,0,3,2,1,2,12.378249,65.5652,12.348703,267.614873490653,1750.40986842232,2018.02474191297
77,"2011-03-18",1,0,3,5,1,1,21.06,52.5217,15.478139,815.962091121403,2857.14496041921,3673.10705154062
79,"2011-03-20",1,0,3,0,0,1,12.9675,47.375,13.917307,661.05583106489,1387.38243370682,2048.43826477171
84,"2011-03-25",2,0,3,5,1,1,10.302513,49.5,15.458575,371.549904069121,2088.09203878802,2459.64194285714
86,"2011-03-27",2,0,3,0,0,2,9.868677,49.3913,12.3481,642.56357936508,1667.21328730159,2309.77686666667
88,"2011-03-29",2,0,3,2,1,1,11.7975,31.4167,15.208732,358.413185470087,2079.41505738706,2437.82824285714
89,"2011-03-30",2,0,3,3,1,2,11.7,64.6667,11.583496,369.714384615387,2061.77602564102,2431.49041025641
93,"2011-04-03",2,0,4,0,0,1,14.754987,48,12.208271,884.347336507937,2039.70797777778,2924.05531428572
94,"2011-04-04",2,0,4,1,1,1,22.359987,42.625,25.50095375,837.289967996436,3312.8975121623,4150.18748015873
95,"2011-04-05",2,0,4,2,1,2,16.152513,64.2083,25.50095375,417.287107126208,2158.64173040293,2575.92883752914
96,"2011-04-06",2,0,4,3,1,1,15.242487,47.0833,17.625221,578.896327878644,2490.21653164517,3069.11285952381
102,"2011-04-12",2,0,4,2,1,2,19.5975,73.9167,18.416893,725.84699247789,2900.55468768084,3626.40168015873
111,"2011-04-21",2,0,4,4,1,1,17.907513,40.7083,21.792286,912.180124252269,3060.71300908107,3972.89313333333
115,"2011-04-25",2,0,4,1,1,1,23.660013,77.6667,12.417311,870.94114344224,3151.85697560538,4022.79811904762
116,"2011-04-26",2,0,4,2,1,1,24.635013,72.9167,21.8755,790.459799247036,3126.30649085321,3916.76629010025
117,"2011-04-27",2,0,4,3,1,2,24.18,83.5417,20.9174,730.278589066268,2964.05206331468,3694.33065238095
118,"2011-04-28",2,0,4,4,1,2,24.0825,70.0833,21.500836,821.995895944575,3052.07580405542,3874.0717
124,"2011-05-04",2,0,5,3,1,2,16.152513,73.7083,22.042732,59.0222296536813,2486.78409285714,2545.80632251082
126,"2011-05-06",2,0,5,5,1,1,18.687513,59,15.292482,871.426864375819,3730.69914038609,4602.12600476191
131,"2011-05-11",2,0,5,3,1,1,21.1575,63.2917,8.083014,779.209698386162,3907.02878226243,4686.23848064859
140,"2011-05-20",2,0,5,5,1,1,20.930013,71.9583,8.375871,874.72489979031,3862.17632689003,4736.90122668034
